,value,error
Rg,5.771616838509214,0.06228765792281748
ete,13.8012971826274,0.23385036599722225
rh,4.456263930286258,0.024728292367093424
nu,0.48774183890109896,0.0018798319522632739
R0,0.6576573964073218,0.007027214993064091
nu_ln,0.4748993852041159,0.0010864845836146093
R0_ln,0.7059884141215347,0.004077098864424939
