,value,error
Rg,5.821877118137902,0.07928704949418396
ete,13.047385433827987,0.2960612333661042
rh,4.449015684160822,0.03569012152267985
nu,0.44225454727776786,0.001237505595542272
R0,0.8655466712276118,0.005979519682679316
nu_ln,0.4589469650829267,0.0011946827401552928
R0_ln,0.7910673287654161,0.004951692673569984
