,value,error
Rg,8.856788879232914,0.09452648777791244
ete,20.045171578002698,0.36042597208111893
rh,6.605195046597505,0.0348627876299025
nu,0.4615523953781888,0.0002997546437243521
R0,0.8011819956643565,0.0015512701721970713
nu_ln,0.4725315250577165,0.00043816456566112233
R0_ln,0.7481760093781017,0.001989681891807649
