,value,error
Rg,8.544030116530223,0.08560348478582788
ete,20.124170194731818,0.3269840167435299
rh,6.35191501474929,0.034689449710864594
nu,0.496704162638806,0.0006006233979130656
R0,0.6435744451113639,0.002481838057220604
nu_ln,0.4882139708877406,0.00035547604219776923
R0_ln,0.6786776763830338,0.0014513106768778113
