,value,error
Rg,8.192174302278772,0.09859425415791365
ete,18.94680122293607,0.3365216789435971
rh,6.151435586733863,0.038760062879174016
nu,0.47866363185015565,0.0004422102069111933
R0,0.7058076478696307,0.0019856130832709906
nu_ln,0.4769495516911168,0.0003139894311510147
R0_ln,0.713535525365287,0.001336890802334423
